Spindle_Speed_rpm,Feed_mm_per_rev,Depth_of_Cut_mm,Machining_Length_mm,Machining_Time_sec,Operation_Milling,Operation_Turning,Material_Brass,Material_Cast Iron,Material_Mild Steel,Tool_Type_Carbide,Tool_Type_Coated Carbide,Tool_Type_HSS
1961,0.196,0.433,288,73.29596204196149,True,False,False,True,False,False,False,True
1811,0.117,1.396,144,53.341142933161954,True,False,False,True,False,False,True,False
2605,0.342,0.61,192,8.989043589429018,False,True,True,False,False,False,True,False
838,0.35,1.808,29,5.695924607232578,False,True,False,True,False,False,True,False
2058,0.149,2.861,123,27.034639682662995,False,True,False,True,False,True,False,False
1361,0.274,0.64,212,38.6495959705569,False,True,False,True,False,True,False,False
2488,0.439,0.421,45,3.2122982104908937,True,False,False,False,True,True,False,False
628,0.248,1.917,37,25.667374014714362,True,False,False,True,False,False,False,True
880,0.464,2.395,221,41.424258788854374,True,False,True,False,False,False,False,True
1426,0.339,0.88,147,15.74682296254827,False,True,False,False,True,False,True,False
2675,0.276,1.02,75,10.297937624737376,True,False,False,True,False,False,False,True
1867,0.135,1.124,42,13.188942284184773,True,False,False,False,True,True,False,False
2508,0.12,2.669,100,26.17851634306804,False,True,False,True,False,False,False,True
2856,0.309,2.131,199,16.46767092631563,False,True,False,False,True,False,False,True
2142,0.356,2.633,85,6.583968090752304,False,True,False,True,False,False,True,False
2092,0.485,2.327,103,7.719935623693083,True,False,False,True,False,False,True,False
1825,0.14,0.978,135,42.53068151825769,True,False,False,False,True,True,False,False
1866,0.331,2.196,19,2.41706747842184,True,False,True,False,False,False,False,True
690,0.207,0.52,145,43.774327895486465,False,True,True,False,False,False,True,False
583,0.478,0.207,62,24.011771350230738,True,False,False,True,False,False,False,True
1826,0.076,0.732,174,70.49395428741816,True,False,True,False,False,False,True,False
2538,0.419,2.319,44,3.2035820035925893,False,True,False,True,False,False,False,True
2513,0.479,1.973,222,7.849190910133291,False,True,True,False,False,False,True,False
642,0.318,2.106,263,68.15460826922775,False,True,False,False,True,False,True,False
2470,0.468,1.237,57,2.9487198073359506,False,True,False,True,False,False,True,False
2470,0.169,1.855,72,10.328717292487216,False,True,False,True,False,False,True,False
1108,0.455,0.715,106,9.732003453745087,False,True,True,False,False,True,False,False
592,0.262,1.904,243,82.52478964493447,False,True,False,False,True,False,True,False
877,0.339,0.333,150,45.025722944576906,True,False,False,True,False,True,False,False
2328,0.177,2.091,197,38.5451494448588,True,False,False,True,False,False,True,False
2431,0.473,1.791,245,18.179151296790778,True,False,False,True,False,True,False,False
1582,0.311,2.543,246,39.051269429782856,True,False,False,False,True,True,False,False
2254,0.314,2.69,201,19.698136912466303,True,False,False,False,True,False,True,False
2610,0.085,0.916,40,11.117828146332903,True,False,True,False,False,True,False,False
1802,0.362,2.494,53,3.6654641109144386,False,True,True,False,False,False,True,False
2850,0.337,1.073,120,7.370533512747924,False,True,False,True,False,False,True,False
2482,0.434,2.918,147,10.929481302019406,False,True,False,True,False,False,False,True
2815,0.296,0.488,296,28.51243786946063,True,False,False,False,True,True,False,False
2588,0.271,0.933,32,2.9158866764992464,True,False,True,False,False,True,False,False
751,0.252,0.609,51,13.408350211028663,False,True,True,False,False,True,False,False
2826,0.188,1.55,208,23.210778487765104,True,False,True,False,False,True,False,False
1430,0.411,2.062,177,31.488006753402026,True,False,False,True,False,False,False,True
1504,0.313,0.871,269,27.15107807093534,False,True,True,False,False,True,False,False
2845,0.32,1.49,99,10.93501914445046,True,False,False,True,False,False,False,True
2051,0.328,0.644,195,21.185534974215646,False,True,False,False,True,False,False,True
2806,0.475,1.438,19,0.8257153047446251,False,True,True,False,False,False,False,True
1154,0.335,2.71,172,26.168332667488453,False,True,False,False,True,True,False,False
2048,0.128,1.235,89,21.06134623046349,False,True,False,False,True,True,False,False
2424,0.116,1.419,36,11.613483327006257,True,False,False,False,True,False,False,True
1639,0.285,2.413,169,21.810262834615905,False,True,True,False,False,False,False,True
2081,0.268,1.166,101,7.636394346934114,False,True,True,False,False,False,True,False
2664,0.383,0.973,294,12.087804558024141,False,True,True,False,False,False,True,False
2387,0.227,0.558,111,16.250071634927938,True,False,False,True,False,False,True,False
1826,0.117,1.921,60,15.5195531709654,False,True,False,False,True,False,True,False
2925,0.246,1.049,211,23.882597942618943,False,True,False,True,False,False,False,True
2433,0.29,0.667,48,5.591743617545519,True,False,False,True,False,True,False,False
1628,0.417,1.196,19,2.5555444033013575,True,False,False,False,True,False,False,True
2530,0.324,1.441,194,14.347418537050913,False,True,False,False,True,True,False,False
1715,0.179,2.255,254,70.42217227259363,True,False,False,True,False,True,False,False
1547,0.286,2.689,55,7.6049670387643955,False,True,False,True,False,False,True,False
1295,0.358,2.898,11,2.170246147017548,True,False,False,False,True,False,False,True
837,0.344,1.803,206,49.75343450303181,False,True,False,False,True,False,False,True
798,0.05,2.217,204,381.6224410528776,False,True,False,False,True,False,False,True
1653,0.138,0.334,78,21.585598674389,False,True,False,True,False,True,False,False
1728,0.061,2.294,74,52.8385502512266,False,True,False,False,True,False,False,True
615,0.104,1.068,93,97.73704311680338,False,True,False,True,False,True,False,False
1290,0.324,2.171,93,16.136130403648522,True,False,False,False,True,False,True,False
1632,0.393,1.095,78,7.509144470352444,True,False,True,False,False,True,False,False
2743,0.163,1.836,132,21.94435867859963,True,False,False,True,False,False,True,False
2727,0.4,2.932,160,10.426230911618147,True,False,False,False,True,False,True,False
1221,0.303,0.996,185,34.07293221419302,True,False,False,False,True,False,True,False
2555,0.136,0.366,110,19.540454962840386,False,True,False,True,False,False,True,False
2536,0.206,1.751,257,28.3147546598702,False,True,False,False,True,True,False,False
706,0.252,1.433,264,112.68354668041795,True,False,True,False,False,False,False,True
1495,0.233,2.574,271,62.56728948155001,False,True,False,True,False,False,False,True
2441,0.465,2.331,290,21.71306373936785,True,False,False,True,False,True,False,False
2652,0.083,2.824,165,56.105901824536325,True,False,True,False,False,False,False,True
1035,0.277,1.642,284,73.38815750173528,True,False,False,True,False,False,True,False
2336,0.419,1.08,206,9.838812966956063,False,True,True,False,False,True,False,False
2441,0.281,2.653,270,30.894691988915273,True,False,True,False,False,False,False,True
1942,0.25,0.551,270,25.945106193009234,False,True,True,False,False,True,False,False
2850,0.263,0.77,264,15.15002343945181,False,True,True,False,False,False,True,False
2595,0.267,1.363,121,12.875104113075867,True,False,False,True,False,False,True,False
2066,0.095,0.79,76,31.978132280792398,True,False,False,True,False,True,False,False
1830,0.073,2.245,201,101.41641571577223,True,False,False,False,True,False,True,False
2640,0.361,0.226,237,20.304568425140683,True,False,False,False,True,True,False,False
1002,0.266,1.933,181,29.84125835652434,False,True,True,False,False,False,True,False
1523,0.082,1.324,131,66.03439736943102,False,True,False,True,False,True,False,False
1652,0.265,2.134,109,11.876374764534871,False,True,True,False,False,True,False,False
2532,0.219,0.734,236,25.748200406556002,False,True,False,True,False,False,True,False
1346,0.383,2.864,114,12.89963940008034,True,False,True,False,False,False,True,False
1169,0.188,1.02,61,12.936312682106056,False,True,True,False,False,True,False,False
2675,0.286,2.983,256,19.661930872222936,True,False,True,False,False,False,True,False
2076,0.351,2.133,265,23.73657521549107,False,True,False,True,False,True,False,False
583,0.266,2.187,214,106.21705436983498,True,False,True,False,False,False,False,True
953,0.469,0.678,168,24.20781251663817,False,True,False,True,False,True,False,False
2030,0.07,0.822,99,51.81717036089886,True,False,False,False,True,True,False,False
2550,0.072,1.196,71,22.611408819368407,False,True,False,True,False,False,True,False
2703,0.375,2.303,235,10.846885660739972,False,True,True,False,False,True,False,False
2154,0.331,0.603,181,19.031721541085908,False,True,False,False,True,False,False,True
938,0.332,1.35,295,52.27594359263175,False,True,True,False,False,False,False,True
2098,0.093,0.264,221,58.32458990714752,False,True,False,False,True,False,True,False
2856,0.411,1.651,43,2.949848355401139,False,True,False,True,False,False,False,True
2380,0.162,2.515,86,18.615627700479365,True,False,False,True,False,True,False,False
2655,0.286,1.441,222,21.247007498187486,False,True,False,False,True,False,False,True
2071,0.499,1.593,180,13.823468107758663,True,False,False,False,True,True,False,False
1184,0.36,2.832,100,22.099885372906954,True,False,False,False,True,False,False,True
819,0.072,1.293,121,115.69555486038446,False,True,True,False,False,False,False,True
1040,0.206,1.01,266,99.19429846281776,True,False,False,True,False,False,True,False
2566,0.162,2.463,243,46.910334684972845,False,True,False,True,False,False,False,True
2494,0.108,0.24,106,24.938127486288323,True,False,True,False,False,True,False,False
1425,0.287,0.521,112,26.611009194492546,True,False,False,False,True,False,False,True
1597,0.472,0.255,267,26.33203300120839,False,True,False,False,True,False,False,True
2704,0.098,2.679,234,51.65655852025907,False,True,True,False,False,False,False,True
1387,0.214,1.133,253,47.298993145663026,False,True,True,False,False,False,False,True
707,0.312,0.704,126,39.84211729017584,False,True,False,False,True,False,False,True
1342,0.241,1.913,195,31.17693997111324,False,True,False,False,True,False,True,False
1200,0.491,1.748,285,51.0874102176625,True,False,False,True,False,False,False,True
1758,0.166,0.216,291,50.11799745090724,False,True,True,False,False,True,False,False
1073,0.067,2.304,222,229.430557545524,False,True,False,False,True,False,False,True
2357,0.433,0.836,115,9.116061304934018,True,False,False,True,False,False,True,False
1310,0.245,0.634,284,66.36074232327414,False,True,False,False,True,False,False,True
993,0.06,2.714,184,237.87242766674507,False,True,False,True,False,False,False,True
697,0.365,2.643,230,52.781656235737394,False,True,False,False,True,True,False,False
2506,0.313,2.166,85,8.432582572353267,True,False,False,False,True,True,False,False
2875,0.478,2.154,70,4.223205504580223,True,False,False,True,False,True,False,False
2706,0.07,1.911,255,73.99437365610983,False,True,False,False,True,False,True,False
2720,0.382,1.426,238,18.057155630449437,True,False,False,False,True,True,False,False
1390,0.075,0.38,269,251.08086284207164,True,False,False,False,True,False,False,True
1063,0.235,0.748,91,25.019946308315706,False,True,False,False,True,False,False,True
1354,0.442,0.655,89,11.279412027637262,True,False,True,False,False,False,False,True
2765,0.438,0.729,44,1.830536552969019,False,True,True,False,False,True,False,False
2468,0.084,0.347,207,48.0318883011727,False,True,True,False,False,True,False,False
1600,0.227,0.34,48,12.53125953082371,True,False,False,False,True,False,False,True
2359,0.396,2.033,214,12.621050509755845,False,True,True,False,False,False,False,True
1173,0.383,2.339,164,22.86083735910134,False,True,False,False,True,True,False,False
1523,0.284,2.086,247,38.70360518752582,True,False,False,False,True,False,True,False
605,0.382,0.496,268,73.89022725433493,True,False,True,False,False,True,False,False
1598,0.285,1.009,287,48.56294972596567,False,True,False,True,False,False,False,True
2022,0.461,2.273,161,10.24387928612309,False,True,False,True,False,False,True,False
1387,0.232,2.463,161,43.190191201882975,True,False,False,True,False,True,False,False
1321,0.273,1.908,143,21.314491272011185,False,True,False,False,True,False,True,False
2646,0.191,2.548,269,23.064511763405527,False,True,True,False,False,False,True,False
512,0.267,0.844,188,103.50721810322129,True,False,False,False,True,True,False,False
1663,0.271,1.742,227,45.13791533817202,True,False,False,False,True,False,False,True
957,0.445,1.957,239,37.57485845078047,False,True,False,True,False,True,False,False
732,0.129,2.997,297,191.3591003042704,False,True,False,False,True,True,False,False
2927,0.326,2.997,52,3.7733659504264385,False,True,False,False,True,False,False,True
2794,0.312,1.13,112,8.665049118958931,False,True,False,True,False,True,False,False
1442,0.383,2.0,265,29.172831106335618,False,True,False,False,True,True,False,False
1165,0.164,0.718,202,59.88976030061545,False,True,True,False,False,False,False,True
2503,0.434,2.337,238,16.085247291278442,True,False,True,False,False,False,False,True
1395,0.367,1.26,107,16.71307004433939,False,True,False,True,False,False,False,True
1457,0.066,0.308,132,60.15710803902885,False,True,True,False,False,False,True,False
2138,0.429,0.319,44,2.8700796330664797,False,True,False,True,False,False,True,False
2906,0.49,1.389,93,3.202866538753445,False,True,True,False,False,True,False,False
1101,0.228,1.879,156,32.29037763142427,False,True,False,False,True,False,True,False
1017,0.464,1.34,261,35.05868545668774,False,True,False,True,False,True,False,False
536,0.349,0.654,299,130.11919785961203,False,True,False,True,False,False,False,True
2521,0.299,2.325,61,7.941670233199225,True,False,False,False,True,False,False,True
2997,0.105,2.256,187,44.33200093332685,True,False,True,False,False,False,False,True
2542,0.201,2.489,168,29.722283650634875,True,False,False,False,True,False,False,True
749,0.197,2.961,138,63.30465598245646,False,True,False,True,False,True,False,False
2417,0.165,0.296,228,33.63859266717734,False,True,False,False,True,True,False,False
1036,0.305,2.286,237,52.105182621570755,True,False,False,False,True,False,True,False
2878,0.412,0.724,242,8.936937780436406,False,True,True,False,False,False,True,False
2817,0.306,2.457,189,13.161801773119018,False,True,True,False,False,False,False,True
1367,0.23,1.51,142,29.463878484222345,False,True,False,True,False,True,False,False
1633,0.357,0.674,75,7.27241037660383,False,True,True,False,False,False,False,True
1461,0.136,0.388,243,64.05424425889522,False,True,False,False,True,False,True,False
646,0.431,1.785,114,27.88265284770488,True,False,False,False,True,False,True,False
639,0.216,1.311,63,29.029346685815888,False,True,False,True,False,True,False,False
1881,0.29,1.977,32,4.55994099817491,True,False,False,True,False,False,True,False
2740,0.163,1.303,233,34.7125616861084,False,True,False,True,False,True,False,False
2925,0.333,0.852,214,11.902002331679366,False,True,False,False,True,False,True,False
1463,0.412,1.5,230,18.457406805311514,False,True,True,False,False,True,False,False
2255,0.277,0.69,230,27.4897531338389,True,False,True,False,False,False,False,True
2976,0.201,2.388,155,26.47536017380342,True,False,False,True,False,False,False,True
1023,0.166,1.037,240,114.06733341291563,True,False,False,True,False,False,True,False
2476,0.243,1.152,56,5.571921768112416,True,False,True,False,False,True,False,False
2630,0.449,0.312,30,1.9395139369534606,False,True,False,True,False,False,False,True
1973,0.114,0.701,68,20.30525281174728,True,False,False,False,True,False,True,False
2193,0.206,2.266,201,29.729340342771312,True,False,False,False,True,False,True,False
2623,0.214,2.667,117,15.236115023928319,True,False,True,False,False,False,False,True
2468,0.091,0.406,162,41.160387885695336,True,False,True,False,False,False,True,False
2232,0.305,1.731,75,7.614984914732559,False,True,False,True,False,True,False,False
2554,0.204,1.182,50,4.2911842851126805,False,True,True,False,False,False,True,False
2072,0.338,1.74,254,34.23423920552707,True,False,False,False,True,False,False,True
2962,0.053,0.887,191,52.586457642868545,False,True,True,False,False,False,True,False
2136,0.167,0.432,32,6.603903697383823,True,False,True,False,False,False,False,True
2679,0.424,2.83,240,11.770278956978503,False,True,True,False,False,False,False,True
1865,0.32,1.387,64,5.757212929290815,True,False,True,False,False,False,True,False
2593,0.219,2.87,67,11.300748677415877,True,False,False,False,True,False,False,True
2212,0.328,2.746,231,23.9971779303155,False,True,False,True,False,False,False,True
1596,0.276,2.897,262,28.804487668236597,False,True,True,False,False,True,False,False
1799,0.14,1.484,284,53.828842539915364,False,True,True,False,False,True,False,False
2425,0.484,0.543,267,9.377971267298616,False,True,True,False,False,False,True,False
1941,0.43,1.025,101,12.915662882605378,True,False,False,True,False,False,False,True
2932,0.321,1.872,56,5.759252235206912,True,False,False,False,True,False,False,True
1986,0.219,1.739,39,5.5895249617259495,False,True,False,False,True,True,False,False
1506,0.374,2.344,239,34.38848335321026,True,False,False,False,True,True,False,False
1954,0.22,1.41,151,28.649084390675828,True,False,False,False,True,True,False,False
2686,0.401,0.925,77,5.672175898897461,True,False,False,True,False,False,True,False
1479,0.438,2.678,103,11.81687818866693,False,True,False,False,True,False,False,True
2848,0.096,1.25,20,5.453334882570382,False,True,False,False,True,False,False,True
1167,0.062,1.47,43,24.45128378048564,False,True,True,False,False,False,True,False
2025,0.412,1.612,142,11.422767795757668,True,False,False,False,True,False,True,False
1248,0.217,0.294,290,93.687446595389,True,False,False,True,False,True,False,False
756,0.286,1.644,212,55.77649956205256,False,True,False,True,False,False,True,False
2139,0.356,0.202,75,8.804374826254023,True,False,False,False,True,False,False,True
653,0.272,2.994,274,90.89379481132025,False,True,False,False,True,True,False,False
2434,0.27,2.597,60,5.137184433132709,True,False,True,False,False,False,True,False
2221,0.09,0.394,49,20.277008375662824,True,False,False,True,False,True,False,False
2634,0.085,2.617,154,47.27439557329218,True,False,False,False,True,False,True,False
2075,0.254,2.841,182,31.335699488959982,True,False,False,False,True,False,False,True
513,0.156,1.372,35,24.704899814402,False,True,True,False,False,False,False,True
895,0.13,0.482,191,132.66860147656146,False,True,False,True,False,False,False,True
559,0.405,2.18,254,66.72855307332189,True,False,True,False,False,True,False,False
615,0.386,0.626,240,68.34509590963663,False,True,False,True,False,True,False,False
2958,0.405,2.441,185,10.336463618209663,True,False,False,False,True,False,True,False
1026,0.414,2.301,17,3.5734579167189886,True,False,False,True,False,True,False,False
771,0.4,0.803,163,33.4569491816039,False,True,False,True,False,True,False,False
1782,0.204,0.431,106,21.31487176202657,False,True,False,False,True,False,False,True
1233,0.465,2.887,299,33.793372025482554,False,True,False,True,False,True,False,False
2983,0.408,1.515,193,8.937451023208162,False,True,False,False,True,False,True,False
2425,0.396,0.981,105,9.070017877186798,False,True,False,True,False,False,False,True
1167,0.394,0.266,152,23.266255596132815,False,True,False,False,True,False,False,True
996,0.377,1.287,164,34.80735328035311,False,True,False,True,False,False,False,True
1258,0.236,2.093,183,29.457679412000765,False,True,True,False,False,True,False,False
2927,0.247,0.939,200,24.58275385531114,True,False,False,True,False,True,False,False
1724,0.193,2.512,120,25.285468826775155,True,False,False,False,True,False,True,False
2702,0.055,1.567,241,170.4962505722589,True,False,False,True,False,False,False,True
2844,0.222,1.422,182,30.250501564877382,True,False,False,True,False,False,False,True
1510,0.417,1.59,157,18.336741737892467,True,False,True,False,False,False,False,True
932,0.196,0.888,70,18.599467055177318,False,True,True,False,False,True,False,False
1930,0.365,2.434,263,28.986836700212745,True,False,False,False,True,True,False,False
814,0.245,1.122,122,38.486982656786175,False,True,False,True,False,True,False,False
835,0.417,2.671,219,51.24061306052345,False,True,False,True,False,False,False,True
1785,0.169,2.34,218,53.44845565782378,False,True,False,False,True,False,False,True
1250,0.328,1.644,267,52.514272707574065,False,True,False,True,False,False,False,True
1675,0.189,1.292,119,21.28347366710047,False,True,False,True,False,False,True,False
1608,0.366,2.896,90,7.232020150942294,False,True,True,False,False,True,False,False
1879,0.114,1.646,199,52.15772646204548,False,True,True,False,False,False,False,True
2604,0.053,2.46,235,125.37132116347252,False,True,False,False,True,False,False,True
617,0.184,0.778,235,150.77950720852644,False,True,False,False,True,False,False,True
1210,0.421,1.501,100,19.06183803355857,True,False,False,False,True,False,False,True
553,0.105,2.204,189,176.89326845253538,True,False,True,False,False,False,True,False
706,0.12,2.668,94,73.14877431857491,False,True,False,True,False,True,False,False
634,0.104,2.508,69,59.98555981504246,True,False,True,False,False,False,True,False
2060,0.344,2.681,56,5.046277528824776,False,True,False,True,False,True,False,False
827,0.359,2.649,188,35.382355361120005,False,True,False,False,True,False,True,False
653,0.388,0.262,168,36.867458689766956,False,True,False,False,True,False,True,False
2071,0.373,0.504,273,15.172943539487191,False,True,True,False,False,False,True,False
2844,0.458,1.452,121,3.9669307076121005,False,True,True,False,False,False,True,False
1040,0.349,0.781,162,32.060482165609685,True,False,False,False,True,False,True,False
2382,0.086,1.501,298,90.51446432390325,False,True,False,True,False,False,True,False
1203,0.179,2.363,177,87.8336450180952,True,False,False,True,False,False,False,True
1706,0.37,1.912,165,14.468296316631985,False,True,False,False,True,False,True,False
2368,0.395,2.273,21,1.8377702199116968,False,True,False,True,False,False,False,True
1111,0.29,0.915,100,24.308493254120467,True,False,False,False,True,True,False,False
1460,0.293,1.708,153,23.105650937548702,True,False,True,False,False,True,False,False
1047,0.269,0.677,273,56.149286773084114,False,True,True,False,False,False,False,True
2152,0.112,1.119,191,60.70247286995114,True,False,False,True,False,False,True,False
1997,0.386,2.744,160,10.202427765615157,False,True,True,False,False,True,False,False
2958,0.417,1.491,38,1.5314257740381154,False,True,True,False,False,True,False,False
1041,0.407,1.277,179,34.9597735756171,False,True,False,True,False,False,False,True
2035,0.153,1.274,28,7.7587006732007096,True,False,False,True,False,True,False,False
1620,0.206,1.123,15,3.9028839956931503,True,False,False,True,False,True,False,False
671,0.496,2.764,201,64.13484021833058,True,False,False,True,False,False,False,True
2219,0.493,2.899,35,1.806503758877145,False,True,False,True,False,False,True,False
1240,0.121,0.373,233,120.80588591964234,True,False,False,False,True,True,False,False
660,0.345,0.225,129,33.138275506933326,False,True,True,False,False,False,False,True
2152,0.226,2.057,188,32.33011452880613,True,False,False,True,False,True,False,False
2600,0.089,2.908,215,75.54386988926323,False,True,False,True,False,False,False,True
1761,0.139,1.176,11,2.559114734485028,False,True,True,False,False,False,False,True
659,0.328,1.945,13,5.736493212022024,True,False,False,False,True,False,False,True
2316,0.285,0.546,299,28.28140472662945,True,False,True,False,False,True,False,False
2143,0.12,0.581,253,73.69103865791672,True,False,False,True,False,False,True,False
2531,0.147,2.429,178,37.35844673459407,False,True,False,True,False,False,False,True
1241,0.319,0.93,117,12.198318567438674,False,True,True,False,False,False,True,False
709,0.171,0.411,151,97.65741798547901,True,False,False,False,True,True,False,False
2458,0.447,1.685,50,2.8593035669807088,False,True,False,True,False,True,False,False
1563,0.4,0.475,300,38.52404804298115,True,False,False,True,False,False,True,False
2814,0.483,2.943,155,6.158747934302692,False,True,False,False,True,False,True,False
1497,0.323,0.616,30,4.664259200443996,True,False,True,False,False,False,False,True
1926,0.07,2.014,45,23.032041790011668,False,True,False,False,True,False,False,True
2794,0.348,2.977,13,0.7622694372068294,False,True,False,False,True,True,False,False
1684,0.271,0.801,205,22.25414001411566,False,True,True,False,False,True,False,False
1694,0.134,0.619,172,72.32370546091529,True,False,False,False,True,False,False,True
1392,0.282,0.719,132,34.9863505441472,True,False,False,True,False,False,False,True
2942,0.23,2.389,52,4.553746860336232,False,True,False,True,False,False,True,False
1652,0.483,1.018,283,20.091817679656593,False,True,False,False,True,False,True,False
1217,0.5,2.035,53,7.075385784643105,True,False,False,False,True,True,False,False
1329,0.266,0.202,226,37.36714262054787,False,True,False,True,False,False,True,False
2698,0.326,0.359,293,27.185765886810078,True,False,False,True,False,True,False,False
1368,0.132,1.429,67,22.448468917486828,False,True,False,True,False,False,True,False
1336,0.277,0.96,72,12.786899223382258,False,True,False,True,False,True,False,False
1476,0.258,2.846,190,42.04283081415463,True,False,False,True,False,True,False,False
2280,0.224,2.487,36,3.730729879752531,False,True,False,False,True,False,True,False
1839,0.414,1.683,206,19.25487966456718,False,True,False,False,True,False,False,True
2932,0.185,2.137,130,13.797414201665092,False,True,True,False,False,False,False,True
1353,0.247,2.588,220,42.00051598814577,False,True,False,True,False,True,False,False
2359,0.181,0.619,149,26.054910825966925,True,False,False,True,False,False,True,False
1016,0.057,1.13,52,56.39480085014705,False,True,False,False,True,True,False,False
705,0.234,2.378,59,38.19844057345541,True,False,False,True,False,False,False,True
920,0.469,2.121,261,39.13302102690089,False,True,False,True,False,True,False,False
890,0.276,1.745,91,27.4297104993129,True,False,True,False,False,False,False,True
608,0.226,1.946,22,12.916344916450962,False,True,False,True,False,False,False,True
768,0.292,2.028,293,99.52785605207696,False,True,False,True,False,False,False,True
2731,0.431,0.338,173,8.95048785521202,True,False,True,False,False,True,False,False
2801,0.151,2.907,253,37.296694500898006,True,False,True,False,False,True,False,False
657,0.129,2.686,54,41.42346138457739,False,True,False,True,False,True,False,False
2250,0.333,1.103,242,21.76783007029839,True,False,False,False,True,False,True,False
2054,0.474,2.189,277,14.140068456310836,False,True,True,False,False,True,False,False
1528,0.234,2.881,207,56.17448602429839,True,False,False,False,True,False,False,True
1036,0.108,1.637,153,84.97835110967802,False,True,False,False,True,True,False,False
